batter,hittype,speed_A,True_speed
400,popup,80.0277044411674,79.24385289876061
401,fly_ball,95.7658389712879,95.30838730381005
401,ground_ball,92.17253134579315,90.182945167838
401,line_drive,99.7844398394801,100.14879021002339
401,popup,76.03976314318635,79.79688212058514
402,fly_ball,84.9926107924443,86.34478754593792
402,ground_ball,90.12431968194954,89.54442844202066
402,line_drive,93.7172500443926,93.8481762683605
402,popup,75.9712093275192,70.41602907509471
403,fly_ball,96.3149908906533,96.9162403498852
403,ground_ball,87.9160113608726,90.63762953926823
403,line_drive,99.4810034651561,99.68389315615049
403,popup,75.9712093275192,74.86268112401362
404,fly_ball,87.05435417563355,87.03676919080546
404,ground_ball,94.7704180864426,91.39868387304266
404,line_drive,84.9944398942193,89.79249640475444
404,popup,73.9534091403746,74.8840224839218
405,fly_ball,89.2823471025849,89.57661427860633
405,ground_ball,85.98937142147699,86.86170931314939
405,line_drive,84.4809743048429,84.4345386644977
405,popup,77.0337986243628,77.60714337208107
406,fly_ball,88.9168702884787,89.3692522871238
406,ground_ball,88.87118367185835,88.28765411771975
406,line_drive,95.5339784417856,95.5336054680341
406,popup,77.94902669543735,77.896117720293
407,fly_ball,91.29588409256185,90.7891852820205
407,ground_ball,98.76541640810255,92.10265962157693
407,line_drive,98.81404492807812,98.83137908025154
407,popup,67.6428775000502,70.48947567696366
408,ground_ball,94.0276014203078,90.8998877303129
408,line_drive,99.7862969502621,80.13195691411747
408,popup,79.5132369531793,78.41192647523881
409,fly_ball,93.16103266098276,94.00629164579166
409,ground_ball,88.567709921246,91.36252082215138
409,line_drive,95.8812536636673,96.26671026335968
409,popup,74.447337511205,74.17775643718241
410,fly_ball,88.50567040868845,88.76324887738575
410,ground_ball,91.02019227540629,89.00208504951793
410,line_drive,96.20714087268121,96.4349621328653
410,popup,67.42877006670845,74.35522205998318
411,fly_ball,91.1185759325403,90.20787113507326
411,ground_ball,92.6461119685045,89.77915890234877
411,line_drive,94.81621846437776,94.59550659992429
411,popup,82.1454811836874,79.74749593505717
412,fly_ball,92.7782367544997,92.60027762504617
412,ground_ball,89.2004208022701,92.83987559525008
412,line_drive,98.95199500828342,99.21765864124849
413,ground_ball,82.4292418540934,88.06329119819127
413,line_drive,85.5972825325748,86.28088744830629
414,fly_ball,91.18113645217947,89.36682769857275
414,ground_ball,89.31065690731845,90.34873279217953
414,line_drive,87.1859551299631,85.12119469385742
414,popup,75.9712093275192,75.76848721686429
415,fly_ball,95.86434183752581,96.5352803109644
415,ground_ball,96.2466266245089,92.39571289610592
415,line_drive,98.073150843928,98.27110472902056
415,popup,71.4468565004191,76.41979543443502
416,fly_ball,88.89934642420221,88.31296830511945
416,ground_ball,79.9031848027774,86.90069600921477
416,line_drive,92.9919966666397,93.22180944027072
416,popup,76.6435565487913,75.93322433670956
417,fly_ball,84.75754380252789,84.41319946576745
417,ground_ball,84.5076378592545,90.22430364899766
417,line_drive,95.26944168792906,95.62185268191361
417,popup,82.6167473459922,79.83535220394978
418,line_drive,92.5395568249124,93.08048039417618
419,ground_ball,101.5836762583122,95.0011576323123
419,line_drive,59.2222449239434,59.90393101462542
420,fly_ball,96.8251300973239,96.46281074917084
421,fly_ball,89.5575246312808,89.51592339036665
421,ground_ball,87.90737331364649,89.20891091857348
421,line_drive,94.85686321152275,94.64662746286311
422,fly_ball,85.6433198700048,85.3694159230788
422,ground_ball,91.1691285799774,85.83381402541549
422,line_drive,89.5093637646223,89.5572056989849
423,fly_ball,98.1965419501815,96.96124234347562
423,ground_ball,77.3641132720607,88.84099844918337
423,line_drive,103.819325679965,103.42753570735155
424,line_drive,98.7003332049241,99.142340483008
425,fly_ball,86.4366405777305,87.17651239852354
425,ground_ball,80.5247021604462,87.41097239514983
425,line_drive,91.6216292463267,91.5466107362025
425,popup,70.63828996569686,73.58397971414648
426,fly_ball,86.0070597265596,87.1525329418526
426,ground_ball,84.1857927142765,86.26295580896102
426,line_drive,95.51524638194628,95.8909815984966
426,popup,63.3512863320841,66.1899307086451
427,fly_ball,85.7528705922592,85.62355438272476
427,ground_ball,89.7558958487855,88.60597925308468
427,line_drive,92.62300612344872,92.47732478543757
427,popup,74.70461874702696,77.41743489795017
428,fly_ball,82.87365838381791,82.93971908986062
428,ground_ball,83.8852657615038,86.82577369852427
428,line_drive,86.36281223967666,86.73505931938986
428,popup,84.7844615063647,66.94806382010258
429,ground_ball,82.38409705658886,84.71856513807896
430,fly_ball,90.83594814971934,69.03149579510597
430,ground_ball,108.630490291449,96.71177472248786
430,line_drive,75.3492488046513,76.58032878476497
431,fly_ball,75.2898420482477,75.51676777207466
431,ground_ball,64.8385985772736,81.74821492862395
431,line_drive,83.99974847228091,84.07292232638684
432,fly_ball,91.1569607900379,91.39462375281158
432,ground_ball,88.78507401677085,89.3217341597773
432,line_drive,94.49390929163299,94.62394304078583
432,popup,70.5825981978387,73.16020020594463
433,fly_ball,88.0373331902423,88.36555311462047
433,ground_ball,83.8063648739664,87.85498347173403
433,line_drive,91.44991480536245,91.30740272236848
433,popup,70.3255273791639,71.50927469482484
434,fly_ball,94.3590430026754,95.3515129287293
434,ground_ball,95.07303476333345,91.42708755976479
434,line_drive,100.370833243831,100.84223936588525
434,popup,72.8243600879589,73.00570386401486
435,fly_ball,88.2168710223135,87.89996166879286
435,ground_ball,89.9998034929654,89.99293512225908
